Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: Autosomal, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
6q23-q25	6:130000001-160600000	LNCR1	Lung cancer 1	608935		450093		max hlod at D6S2436	{Lung cancer susceptibility}	608935		2	
6q23-q24	6:130000001-148500000	MAFD6, BPAD	Major affective disorder 6	611536		100188844			{Major affective disorder 6}	611536		2	
6q23	6:130000001-138300000	RP63	Retinitis pigmentosa 63	614494		100862681		between D6S457 and D6S1656	Retinitis pigmentosa 63	614494	AD	2	
6q23	6:130000001-138300000	SLEB13	Systemic lupus erythematosus, susceptibility to, 13	612378		100196918		associated with rs5029939	{Systemic lupus erythematosus, susceptibility to, 13}	612378	AD	2	
6q23-q24.1	6:130000001-142200000	SPG25	Spastic paraplegia 25, autosomal recessive, with disc herniation	608220		387583			Spastic paraplegia 25, autosomal recessive	608220	AR	2	
6q23.2	6:131573226-131584329	ARG1	Arginase, liver	608313	ARG1	383	ENSG00000118520,ENST00000368087;;;ENST00000368087		Argininemia	207800	AR	3	Arg1
6q23.2	6:131573966-131628313	MED23, MRT18	Mediator complex subunit 23	605042	MED23	9439	ENSG00000112282,ENST00000368068;;;ENST00000368068		Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy	614249	AR	3	Med23
6q23.2	6:131808020-131895155	ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED	Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Ly-41 antigen, mouse, homolog of)	173335	ENPP1	5167	ENSG00000197594,ENST00000647893;;;ENST00000647893		{Diabetes mellitus, non-insulin-dependent, susceptibility to}	125853	AD	3	Enpp1
6q23.2	6:131808020-131895155	ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED	Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Ly-41 antigen, mouse, homolog of)	173335	ENPP1	5167	ENSG00000197594,ENST00000647893;;;ENST00000647893		{Obesity, susceptibility to}	601665	AD, AR, Mu	3	Enpp1
6q23.2	6:131808020-131895155	ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED	Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Ly-41 antigen, mouse, homolog of)	173335	ENPP1	5167	ENSG00000197594,ENST00000647893;;;ENST00000647893		Arterial calcification, generalized, of infancy, 1	208000	AR	3	Enpp1
6q23.2	6:131808020-131895155	ENPP1, PDNP1, NPPS, M6S1, PCA1, ARHR2, COLED	Ectonucleotide pyrophosphatase/phosphodiesterase 1 (Ly-41 antigen, mouse, homolog of)	173335	ENPP1	5167	ENSG00000197594,ENST00000647893;;;ENST00000647893		Cole disease	615522	AD	3	Enpp1
