Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, Autosomal)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
6p21.3	6:30500001-36600000	PBLT	Panbronchiolitis, diffuse	604809					Panbronchiolitis, diffuse	604809	Mu	2	
6p21.3	6:30500001-36600000	PDCOS	Podoconiosis, susceptibility to	614590		100885774			{Podoconiosis, susceptibility to}	614590		2	
6p21	6:30500001-46200000	RLS6	Restless legs syndrome, susceptibility to, 6	611185		100302512		associated with rs9296249 and rs9357271	{Restless legs syndrome 6}	611185		2	
6p21.3	6:30500001-36600000	RWS	Ragweed sensitivity	179450		7937		?linkage or association, with HLA	?Ragweed sensitivity	179450	AD	2	
6p21.3	6:30500001-36600000	VAMAS6	Vitiligo-associated multiple autoimmune disease susceptibility 6	193200		246319		possible second locus on 1p31.3-p32.2	{Vitiligo-associated multiple autoimmune disease susceptibility 6}	193200	AR	2	
6p21.33	6:30653127-30673006	DHX16, DDX16, DBP2, PRP8, NMOAS	DEAH-box helicase 16	603405	DHX16	8449	ENSG00000204560,ENST00000376442;;;ENST00000376442		Neuromuscular disease and ocular or auditory anomalies with or without seizures	618733	AD	3	Dhx16
6p21.33	6:30720352-30725422	TUBB, TUBB5, M40, CDCBM6, CSCSC1	Tubulin, beta polypeptide	191130	TUBB	203068	ENSG00000196230,ENST00000327892;;;ENST00000327892		Cortical dysplasia, complex, with other brain malformations 6	615771	AD	3	Tubb5
6p21.33	6:30720352-30725422	TUBB, TUBB5, M40, CDCBM6, CSCSC1	Tubulin, beta polypeptide	191130	TUBB	203068	ENSG00000196230,ENST00000327892;;;ENST00000327892		Symmetric circumferential skin creases, congenital, 1	156610	AD	3	Tubb5
6p21.33	6:30914238-30926459	VARS2, KIAA1885, COXPD20	Valyl-tRNA synthetase 2	612802	VARS2	57176	ENSG00000137411,ENST00000676266;;;ENST00000676266		Combined oxidative phosphorylation deficiency 20	615917	AR	3	Vars2
6p21.33	6:31115087-31120446	CDSN, HTSS1, HYPT2, PSS1	Corneodesmosin	602593	CDSN	1041	ENSG00000204539,ENST00000376288;;;ENST00000376288		Hypotrichosis 2	146520	AD	3	Cdsn
6p21.33	6:31115087-31120446	CDSN, HTSS1, HYPT2, PSS1	Corneodesmosin	602593	CDSN	1041	ENSG00000204539,ENST00000376288;;;ENST00000376288		Peeling skin syndrome 1	270300	AR	3	Cdsn
6p21.33	6:31268749-31272092	HLA-C, PSORS1	Major histocompatibility complex, class I, C	142840	HLA-C	3107	ENSG00000204525,ENST00000376228;;;ENST00000376228		{HIV-1 viremia, susceptibility to}	609423		3	H2-D1,H2-K1,H2-M10.1,H2-M10.2,H2-M10.4,H2-M2,H2-M3,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q6,H2-Q7,H2-Q8,H2-T23
6p21.33	6:31268749-31272092	HLA-C, PSORS1	Major histocompatibility complex, class I, C	142840	HLA-C	3107	ENSG00000204525,ENST00000376228;;;ENST00000376228		{Psoriasis susceptibility 1}	177900	Mu	3	H2-D1,H2-K1,H2-M10.1,H2-M10.2,H2-M10.4,H2-M2,H2-M3,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q6,H2-Q7,H2-Q8,H2-T23
6p21.33	6:31353875-31357179	HLA-B, SPDA1	Major histocompatibility complex, class I, B	142830	HLA-B	3106	ENSG00000234745,ENST00000412585;;;ENST00000412585		{Ankylosing spondylitis, susceptibility to, 1}	106300	Mu	3	H2-D1,H2-K1,H2-M10.1,H2-M10.2,H2-M10.4,H2-M2,H2-M3,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q6,H2-Q7,H2-Q8,H2-T23
6p21.33	6:31353875-31357179	HLA-B, SPDA1	Major histocompatibility complex, class I, B	142830	HLA-B	3106	ENSG00000234745,ENST00000412585;;;ENST00000412585		{Severe cutaneous adverse reaction, susceptibility to}	608579		3	H2-D1,H2-K1,H2-M10.1,H2-M10.2,H2-M10.4,H2-M2,H2-M3,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q6,H2-Q7,H2-Q8,H2-T23
6p21.33	6:31353875-31357179	HLA-B, SPDA1	Major histocompatibility complex, class I, B	142830	HLA-B	3106	ENSG00000234745,ENST00000412585;;;ENST00000412585		{Stevens-Johnson syndrome, susceptibility to}	608579		3	H2-D1,H2-K1,H2-M10.1,H2-M10.2,H2-M10.4,H2-M2,H2-M3,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q6,H2-Q7,H2-Q8,H2-T23
6p21.33	6:31353875-31357179	HLA-B, SPDA1	Major histocompatibility complex, class I, B	142830	HLA-B	3106	ENSG00000234745,ENST00000412585;;;ENST00000412585		{Toxic epidermal necrolysis, susceptibility to}	608579		3	H2-D1,H2-K1,H2-M10.1,H2-M10.2,H2-M10.4,H2-M2,H2-M3,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q6,H2-Q7,H2-Q8,H2-T23
6p21.33	6:31546851-31558829	NFKBIL1	Nuclear factor-kappa-B inhibitor-like protein 1	601022	NFKBIL1	4795	ENSG00000204498,ENST00000376148;;;ENST00000376148		{Rheumatoid arthritis, susceptibility to}	180300		3	Nfkbil1
6p21.33	6:31560610-31574324	LTA, TNFB	Lymphotoxin alpha (formerly tumor necrosis factor beta)	153440	LTA	4049	ENSG00000226979,ENST00000418386;;;ENST00000418386	cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B	{Leprosy, susceptibility to, 4}	610988		3	Lta
6p21.33	6:31560610-31574324	LTA, TNFB	Lymphotoxin alpha (formerly tumor necrosis factor beta)	153440	LTA	4049	ENSG00000226979,ENST00000418386;;;ENST00000418386	cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B	{Myocardial infarction, susceptibility to}	608446		3	Lta
6p21.33	6:31560610-31574324	LTA, TNFB	Lymphotoxin alpha (formerly tumor necrosis factor beta)	153440	LTA	4049	ENSG00000226979,ENST00000418386;;;ENST00000418386	cen-DR-21OH-C4-BF-C2-TNF-LTA-HLA-B	{Psoriatic arthritis, susceptibility to}	607507		3	Lta
6p21.33	6:31575565-31578336	TNF, TNFA, IMD127	Tumor necrosis factor (cachectin)	191160	TNF	7124	ENSG00000232810,ENST00000449264;;;ENST00000449264	mutation identified in 1 IMD127 family	?Immunodeficiency 127	620977	AR	3	Tnf
6p21.33	6:31575565-31578336	TNF, TNFA, IMD127	Tumor necrosis factor (cachectin)	191160	TNF	7124	ENSG00000232810,ENST00000449264;;;ENST00000449264	mutation identified in 1 IMD127 family	{Asthma, susceptibility to}	600807	AD	3	Tnf
6p21.33	6:31575565-31578336	TNF, TNFA, IMD127	Tumor necrosis factor (cachectin)	191160	TNF	7124	ENSG00000232810,ENST00000449264;;;ENST00000449264	mutation identified in 1 IMD127 family	{Dementia, vascular, susceptibility to}			3	Tnf
6p21.33	6:31575565-31578336	TNF, TNFA, IMD127	Tumor necrosis factor (cachectin)	191160	TNF	7124	ENSG00000232810,ENST00000449264;;;ENST00000449264	mutation identified in 1 IMD127 family	{Malaria, cerebral, susceptibility to}	611162		3	Tnf
6p21.33	6:31575565-31578336	TNF, TNFA, IMD127	Tumor necrosis factor (cachectin)	191160	TNF	7124	ENSG00000232810,ENST00000449264;;;ENST00000449264	mutation identified in 1 IMD127 family	{Migraine without aura, susceptibility to}	157300	AD	3	Tnf
6p21.33	6:31575565-31578336	TNF, TNFA, IMD127	Tumor necrosis factor (cachectin)	191160	TNF	7124	ENSG00000232810,ENST00000449264;;;ENST00000449264	mutation identified in 1 IMD127 family	{Septic shock, susceptibility to}			3	Tnf
6p21.33	6:31588895-31593006	NCR3, 1C7, NKP30, CD337, MALS	Natural cytotoxicity triggering receptor 3	611550	NCR3	259197	ENSG00000204475,ENST00000340027;;;ENST00000340027		{Malaria, mild, susceptibility to}	609148		3	Ncr3-ps
6p21.33	6:31666080-31670067	CSNK2B, POBINDS	Casein kinase-2, beta polypeptide	115441	CSNK2B	1460	ENSG00000204435,ENST00000375882;;;ENST00000375882		Poirier-Bienvenu neurodevelopmental syndrome	618732	AD	3	Csnk2b
6p21.33	6:31686955-31703324	ABHD16A, BAT5, D6S82E, SPG86	Abhydrolase domain-containing 16A, phospholipase	142620	ABHD16A	7920	ENSG00000204427,ENST00000395952;;;ENST00000395952		Spastic paraplegia 86, autosomal recessive	619735	AR	3	Abhd16a
6p21.33	6:31720296-31726714	MPIG6B, G6B, C6orf25, THAMY	Megakaryocyte and platelet inhibitory receptor G6B	606520	MPIG6B	80739	ENSG00000204420,ENST00000649779;;;ENST00000649779	mutation identified in 1 THAMY family	?Thrombocytopenia, anemia, and myelofibrosis	617441	AR	3	Mpig6b
6p21.33	6:31740005-31762676	MSH5, POF13, SPGF74	mutS homolog 5	603382	MSH5	4439	ENSG00000204410,ENST00000375750;;;ENST00000375750	mutation identified in POF13 family	?Premature ovarian failure 13	617442	AR	3	Msh5
6p21.33	6:31740005-31762676	MSH5, POF13, SPGF74	mutS homolog 5	603382	MSH5	4439	ENSG00000204410,ENST00000375750;;;ENST00000375750	mutation identified in POF13 family	Spermatogenic failure 74	619937	AR	3	Msh5
6p21.33	6:31777518-31795752	VARS1, VARS, G7A, VARS2, NDMSCA	Valyl-tRNA synthetase 1	192150	VARS1	7407	ENSG00000204394,ENST00000375663;;;ENST00000375663		Neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy	617802	AR	3	Vars1
6p21.33	6:31857659-31862821	NEU1, NEU, SIAL1	Neuraminidase 1 (lysosomal sialidase; sialidase 1)	608272	NEU1	4758	ENSG00000204386,ENST00000375631;;;ENST00000375631		Sialidosis, type I	256550	AR	3	Neu1
6p21.33	6:31857659-31862821	NEU1, NEU, SIAL1	Neuraminidase 1 (lysosomal sialidase; sialidase 1)	608272	NEU1	4758	ENSG00000204386,ENST00000375631;;;ENST00000375631		Sialidosis, type II	256550	AR	3	Neu1
6p21.33	6:31863192-31878997	SLC44A4, CTL4, C6orf29, DFNA72	Solute carrier family 44, member 4	606107	SLC44A4	80736	ENSG00000204385,ENST00000229729;;;ENST00000229729	mutation identified in 1 DFNA72 family	?Deafness, autosomal dominant 72	617606	AD	3	Slc44a4
6p21.33	6:31897783-31945672	C2, ARMD14	Complement component-2	613927	C2	717	ENSG00000166278,ENST00000299367;;;ENST00000299367	no crossover with BF	{Macular degeneration, age-related, 14, reduced risk of}	615489	DD	3	C2
6p21.33	6:31897783-31945672	C2, ARMD14	Complement component-2	613927	C2	717	ENSG00000166278,ENST00000299367;;;ENST00000299367	no crossover with BF	C2 deficiency	217000	AR	3	C2
