Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, Autosomal)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
2q37.1	2:231732433-231781282	PDE6D, JBTS22	Phosphodiesterase 6D	602676	PDE6D	5147	ENSG00000156973,ENST00000287600;;;ENST00000287600		Joubert syndrome 22	615665	AR	3	Pde6d
2q37.1	2:231961713-232344350	DIS3L2, PRLMNS	DIS3 like exosome 3'-5' exoribonuclease 2	614184	DIS3L2	129563	ENSG00000144535,ENST00000325385;;;ENST00000325385		Perlman syndrome	267000	AR	3	Dis3l2
2q37.1	2:232479827-232487834	ECEL1, XCE, DA5D	Endothelin-converting enzyme-like 1	605896	ECEL1	9427	ENSG00000171551,ENST00000304546;;;ENST00000304546		Arthrogryposis, distal, type 5D	615065	AR	3	Ecel1
2q37.1	2:232520388-232525716	PRSS56, MCOP6	Protease, serine, 56	613858	PRSS56	646960	ENSG00000237412,ENST00000617714;;;ENST00000617714		Microphthalmia, isolated 6	613517	AR	3	Prss56
2q37.1	2:232526160-232536664	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C	Cholinergic receptor, nicotinic, delta polypeptide	100720	CHRND	1144	ENSG00000135902,ENST00000258385;;;ENST00000258385	mutation identified in 1 CMS3A patient and 1 CMS3C family	?Myasthenic syndrome, congenital, 3A, slow-channel	616321	AD	3	Chrnd
2q37.1	2:232526160-232536664	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C	Cholinergic receptor, nicotinic, delta polypeptide	100720	CHRND	1144	ENSG00000135902,ENST00000258385;;;ENST00000258385	mutation identified in 1 CMS3A patient and 1 CMS3C family	?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency	616323	AR	3	Chrnd
2q37.1	2:232526160-232536664	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C	Cholinergic receptor, nicotinic, delta polypeptide	100720	CHRND	1144	ENSG00000135902,ENST00000258385;;;ENST00000258385	mutation identified in 1 CMS3A patient and 1 CMS3C family	Multiple pterygium syndrome, lethal type	253290	AR	3	Chrnd
2q37.1	2:232526160-232536664	CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C	Cholinergic receptor, nicotinic, delta polypeptide	100720	CHRND	1144	ENSG00000135902,ENST00000258385;;;ENST00000258385	mutation identified in 1 CMS3A patient and 1 CMS3C family	Myasthenic syndrome, congenital, 3B, fast-channel	616322	AR	3	Chrnd
2q37.1	2:232539692-232548115	CHRNG, ACHRG	Cholinergic receptor, nicotinic, gamma polypeptide	100730	CHRNG	1146	ENSG00000196811,ENST00000651502;;;ENST00000651502	tightly linked to CHRND by RE	Escobar syndrome	265000	AR	3	Chrng
2q37.1	2:232539692-232548115	CHRNG, ACHRG	Cholinergic receptor, nicotinic, gamma polypeptide	100730	CHRNG	1146	ENSG00000196811,ENST00000651502;;;ENST00000651502	tightly linked to CHRND by RE	Multiple pterygium syndrome, lethal type	253290	AR	3	Chrng
