Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: Autosomal, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
9p21.3	9:21967752-21995324	CDKN2A, MTS1, P16, MLM, CMM2	Cyclin-dependent kinase inhibitor 2A (p16, inhibits CDK4)	600160	CDKN2A	1029	ENSG00000147889,ENST00000304494;;;ENST00000304494		{Melanoma and neural system tumor syndrome}	155755	AD	3	Cdkn2a,Cdkn2b
9p21.3	9:21967752-21995324	CDKN2A, MTS1, P16, MLM, CMM2	Cyclin-dependent kinase inhibitor 2A (p16, inhibits CDK4)	600160	CDKN2A	1029	ENSG00000147889,ENST00000304494;;;ENST00000304494		{Melanoma-pancreatic cancer syndrome}	606719	AD	3	Cdkn2a,Cdkn2b
9p21.3	9:21967752-21995324	CDKN2A, MTS1, P16, MLM, CMM2	Cyclin-dependent kinase inhibitor 2A (p16, inhibits CDK4)	600160	CDKN2A	1029	ENSG00000147889,ENST00000304494;;;ENST00000304494		{Melanoma, cutaneous malignant, 2}	155601	AD	3	Cdkn2a,Cdkn2b
9p21.2	9:26903372-26947242	PLAA, PLAP, NDMSBA	Phospholipase A2-activating protein	603873	PLAA	9373	ENSG00000137055,ENST00000397292;;;ENST00000397292		Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies	617527	AR	3	Plaa
9p21.2	9:26947110-27066134	IFT74, CCDC2, CMG1, BBS22, JBTS40, SPGF58	Intraflagellar transport 74	608040	IFT74	80173	ENSG00000096872,ENST00000380062;;;ENST00000380062		Bardet-Biedl syndrome 22	617119	AR	3	Ift74
9p21.2	9:26947110-27066134	IFT74, CCDC2, CMG1, BBS22, JBTS40, SPGF58	Intraflagellar transport 74	608040	IFT74	80173	ENSG00000096872,ENST00000380062;;;ENST00000380062		Joubert syndrome 40	619582	AR	3	Ift74
9p21.2	9:26947110-27066134	IFT74, CCDC2, CMG1, BBS22, JBTS40, SPGF58	Intraflagellar transport 74	608040	IFT74	80173	ENSG00000096872,ENST00000380062;;;ENST00000380062		Spermatogenic failure 58	619585	AR	3	Ift74
9p21.2	9:27109225-27230174	TEK, TIE2, VMCM, GLC3E	TEK tyrosine kinase, endothelial	600221	TEK	7010	ENSG00000120156,ENST00000380036;;;ENST00000380036		Glaucoma 3, primary congenital, E	617272	AD	3	Tek
9p21.2	9:27109225-27230174	TEK, TIE2, VMCM, GLC3E	TEK tyrosine kinase, endothelial	600221	TEK	7010	ENSG00000120156,ENST00000380036;;;ENST00000380036		Venous malformations, multiple cutaneous and mucosal	600195	AD	3	Tek
9p21.2	9:27546546-27573866	C9orf72, FTDALS1, FTDALS, ALSFTD	Chromosome 9 open reading frame 72	614260	C9orf72	203228	ENSG00000147894,ENST00000380003;;;ENST00000380003		Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	105550	AD	3	C9orf72
9p21.1	9:32455302-32526196	RIGI, DDX58, SGMRT2	RNA sensor RIG-I	609631	RIGI	23586	ENSG00000107201,ENST00000379883;;;ENST00000379883		Singleton-Merten syndrome 2	616298	AD	3	Rigi
9p21.1	9:32540544-32552586	TOPORS, P53BP3, LUN, RP31	Topoisomerase I-binding arginine/serine-rich protein	609507	TOPORS	10210	ENSG00000197579,ENST00000360538;;;ENST00000360538		Retinitis pigmentosa 31	609923	AD	3	Topors
9p21.1	9:32972616-33025120	APTX, AOA, AOA1	Aprataxin	606350	APTX	54840	ENSG00000137074,ENST00000379817;;;ENST00000379817		Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	208920	AR	3	Aptx
9p21.1	9:33104077-33185089	B4GALT1, GGTB2, GT1, GTB, CDG2D, CLDLFIB	Glycoprotein-4-beta-galactosyltransferase-2 (EC 2.4.1.22)	137060	B4GALT1	2683	ENSG00000086062,ENST00000379731;;;ENST00000379731		Combined low LDL and fibrinogen	620364	AR	3	B4galt1
9p21.1	9:33104077-33185089	B4GALT1, GGTB2, GT1, GTB, CDG2D, CLDLFIB	Glycoprotein-4-beta-galactosyltransferase-2 (EC 2.4.1.22)	137060	B4GALT1	2683	ENSG00000086062,ENST00000379731;;;ENST00000379731		Congenital disorder of glycosylation, type IId	607091	AR	3	B4galt1
9p13	9:33200001-39000000	PEE3	Preeclampsia/eclampsia 3	609403		780909			Preeclampsia/eclampsia 3	609403		2	
9p13.3	9:33383191-33402568	AQP7, GLYCQTL	Aquaporin-7	602974	AQP7	364	ENSG00000165269,ENST00000297988;;;ENST00000297988		[Glycerol quantitative trait locus]	614411	AR	3	Aqp7
9p13.3	9:33441160-33447593	AQP3	Aquaporin-3	600170	AQP3	360	ENSG00000165272,ENST00000297991;;;ENST00000297991	incorrectly mapped to chr.7	[Blood group GIL]	607457		3	Aqp3
