Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: Autosomal, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1q23.2	1:160343383-160358949	NCSTN	Nicastrin	605254	NCSTN	23385	ENSG00000162736,ENST00000294785;;;ENST00000294785		Acne inversa, familial, 1	142690	AD	3	Ncstn
1q23.2	1:160400564-160428670	VANGL2, LTAP	VANGL planar cell polarity protein 2	600533	VANGL2	57216	ENSG00000162738,ENST00000368061;;;ENST00000368061		Neural tube defects	182940	AD	3	Vangl2
1q23.3	1:160500001-165500000	QTV	QT interval, variation in	610141		100379215		associated with rs12143842	[QT interval, variation in]	610141		2	
1q23.3	1:160830160-160862887	CD244, NAIL, NKR2B4, SLAMF4	CD244 antigen	605554	CD244	51744	ENSG00000122223,ENST00000368034;;;ENST00000368034		{Rheumatoid arthritis, susceptibility to}	180300		3	Cd244a
1q23.3	1:161039251-161045977	USF1, HYPLIP1	Upstream transcription factor 1	191523	USF1	7391	ENSG00000158773,ENST00000368021;;;ENST00000368021		{Hyperlipidemia, familial combined, susceptibility to}	602491		3	Usf1
1q23.3	1:161070998-161089558	NECTIN4, PVRL4, PRR4, EDSS1	Nectin 4	609607	NECTIN4	81607	ENSG00000143217,ENST00000368012;;;ENST00000368012		Ectodermal dysplasia-syndactyly syndrome 1	613573	AR	3	Nectin4
1q23.3	1:161118105-161125445	NIT1, BSVD4	Nitrilase 1	604618	NIT1	4817	ENSG00000158793,ENST00000368009;;;ENST00000368009		Brain small vessel disease 4	621313	AR	3	Nit1
1q23.3	1:161153978-161158856	UFC1, NEDSG	Ubiquitin-fold modifier-conjugating enzyme 1	610554	UFC1	51506	ENSG00000143222,ENST00000368003;;;ENST00000368003		Neurodevelopmental disorder with spasticity and poor growth	618076	AR	3	Ufc1
1q23.3	1:161165728-161178013	PPOX, VP, VPCO	Protoporphyrinogen oxidase	600923	PPOX	5498	ENSG00000143224,ENST00000367999;;;ENST00000367999		Variegate porphyria	176200	AD	3	Ppox
1q23.3	1:161165728-161178013	PPOX, VP, VPCO	Protoporphyrinogen oxidase	600923	PPOX	5498	ENSG00000143224,ENST00000367999;;;ENST00000367999		Variegate porphyria, childhood-onset	620483	AR	3	Ppox
1q23.3	1:161197417-161214395	NDUFS2, MC1DN6, LHONAR2	NADH-ubiquinone oxidoreductase core subunit S2	602985	NDUFS2	4720	ENSG00000158864,ENST00000676972;;;ENST00000676972	mutation identified in 1 LHONAR2 family	?Leber-like hereditary optic neuropathy, autosomal recessive 2	620569	AR	3	Ndufs2
1q23.3	1:161197417-161214395	NDUFS2, MC1DN6, LHONAR2	NADH-ubiquinone oxidoreductase core subunit S2	602985	NDUFS2	4720	ENSG00000158864,ENST00000676972;;;ENST00000676972	mutation identified in 1 LHONAR2 family	Mitochondrial complex I deficiency, nuclear type 6	618228	AR	3	Ndufs2
1q23.3	1:161222292-161223628	APOA2	Apolipoprotein A-II	107670	APOA2	336	ENSG00000158874,ENST00000367990;;;ENST00000367990		{Hypercholesterolemia, familial, modifier of}	143890	AD, AR	3	Apoa2
1q23.3	1:161222292-161223628	APOA2	Apolipoprotein A-II	107670	APOA2	336	ENSG00000158874,ENST00000367990;;;ENST00000367990		Apolipoprotein A-II deficiency			3	Apoa2
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Charcot-Marie-Tooth disease, dominant intermediate D	607791	AD	3	Mpz
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Charcot-Marie-Tooth disease, type 1B	118200	AD	3	Mpz
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Charcot-Marie-Tooth disease, type 2I	607677	AD	3	Mpz
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Charcot-Marie-Tooth disease, type 2J	607736	AD	3	Mpz
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Dejerine-Sottas disease	145900	AD, AR	3	Mpz
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Hypomyelinating neuropathy, congenital, 2	618184	AD	3	Mpz
1q23.3	1:161303600-161309968	MPZ, CMT1B, CMTDID, DSS, CHN2	Myelin protein zero	159440	MPZ	4359	ENSG00000158887,ENST00000533357;;;ENST00000533357		Roussy-Levy syndrome	180800	AD	3	Mpz
1q23.3	1:161314381-161363206	SDHC, PPGL3	Succinate dehydrogenase complex, subunit C	602413	SDHC	6391	ENSG00000143252,ENST00000367975;;;ENST00000367975		Gastrointestinal stromal tumor	606764	AD, IC	3	Sdhc
1q23.3	1:161314381-161363206	SDHC, PPGL3	Succinate dehydrogenase complex, subunit C	602413	SDHC	6391	ENSG00000143252,ENST00000367975;;;ENST00000367975		Paraganglioma and gastric stromal sarcoma	606864		3	Sdhc
1q23.3	1:161314381-161363206	SDHC, PPGL3	Succinate dehydrogenase complex, subunit C	602413	SDHC	6391	ENSG00000143252,ENST00000367975;;;ENST00000367975		Pheochromocytoma/paraganglioma syndrome 3	605373	AD	3	Sdhc
1q23.3	1:161505457-161524048	FCGR2A, IGFR2, CD32	Fc fragment of IgG receptor IIa	146790	FCGR2A	2212	ENSG00000143226,ENST00000271450;;;ENST00000271450	FCG2 and FCG3 within 250kb	{Lupus nephritis, susceptibility to}	152700	AD	3	Fcgr2b,Fcgr3
1q23.3	1:161505457-161524048	FCGR2A, IGFR2, CD32	Fc fragment of IgG receptor IIa	146790	FCGR2A	2212	ENSG00000143226,ENST00000271450;;;ENST00000271450	FCG2 and FCG3 within 250kb	{Malaria, severe, susceptibility to}	611162		3	Fcgr2b,Fcgr3
1q23.3	1:161505457-161524048	FCGR2A, IGFR2, CD32	Fc fragment of IgG receptor IIa	146790	FCGR2A	2212	ENSG00000143226,ENST00000271450;;;ENST00000271450	FCG2 and FCG3 within 250kb	{Pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}	219700	AR	3	Fcgr2b,Fcgr3
1q23.3	1:161541759-161550737	FCGR3A, CD16, IGFR3, IMD20	Fc fragment of IgG receptor IIIa	146740	FCGR3A	2214	ENSG00000203747,ENST00000443193;;;ENST00000443193	FCGR2A and FCGR3A within 250kb antigen	Immunodeficiency 20	615707	AR	3	Fcgr4
1q23.3	1:161647243-161678654	FCGR2B, CD32	Fc fragment of IgG receptor Ia	604590	FCGR2B	2213	ENSG00000072694,ENST00000358671;;;ENST00000358671		{Malaria, resistance to}	611162		3	Fcgr2b
1q23.3	1:161647243-161678654	FCGR2B, CD32	Fc fragment of IgG receptor Ia	604590	FCGR2B	2213	ENSG00000072694,ENST00000358671;;;ENST00000358671		{Systemic lupus erythematosus, susceptibility to}	152700	AD	3	Fcgr2b
1q23.3	1:161766320-161964070	ATF6, ACHM7	Activating transcription factor-6	605537	ATF6	22926	ENSG00000118217,ENST00000367942;;;ENST00000367942		Achromatopsia 7	616517	AR	3	Atf6
1q23.3	1:162069691-162370475	NOS1AP, CAPON, KIAA0464, NPHS22	Nitric oxide synthase 1 (neuronal) adaptor protein	605551	NOS1AP	9722	ENSG00000198929,ENST00000361897;;;ENST00000361897		Nephrotic syndrome, type 22	619155	AR	3	Nos1ap
1q23.3	1:162630863-162787405	DDR2, NTRKR3, TKT, WRCN	Discoidin domain receptor family, member 2	191311	DDR2	4921	ENSG00000162733,ENST00000367921;;;ENST00000367921		Spondylometaepiphyseal dysplasia, short limb-hand type	271665	AR	3	Ddr2
1q23.3	1:162630863-162787405	DDR2, NTRKR3, TKT, WRCN	Discoidin domain receptor family, member 2	191311	DDR2	4921	ENSG00000162733,ENST00000367921;;;ENST00000367921		Warburg-Cinotti syndrome	618175	AD	3	Ddr2
