Gene Map Search - '(Search in: Entries with: Phenotype, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, Autosomal)'
Downloaded:	November 7th, 2025
Copyright (c) 1966-2025 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p32.3	1:54756898-54764523	PARS2, DEE75	Prolyl-tRNA synthetase 2	612036	PARS2	25973	ENSG00000162396,ENST00000371279;;;ENST00000371279		Developmental and epileptic encephalopathy 75	618437	AR	3	Pars2
1p32.3	1:54849627-54887195	DHCR24, KIAA0018	24-dehydrocholesterol reductase	606418	DHCR24	1718	ENSG00000116133,ENST00000371269;;;ENST00000371269		Desmosterolosis	602398	AR	3	Dhcr24
1p32.3	1:54998933-55017172	BSND	Barttin	606412	BSND	7809	ENSG00000162399,ENST00000651561;;;ENST00000651561		Bartter syndrome, type 4a	602522	AR	3	Bsnd
1p32.3	1:54998933-55017172	BSND	Barttin	606412	BSND	7809	ENSG00000162399,ENST00000651561;;;ENST00000651561		Sensorineural deafness with mild renal dysfunction	602522	AR	3	Bsnd
1p32.3	1:55039548-55064852	PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1, FHCL3	Proprotein convertase, subtilisin/kexin-type, 9	607786	PCSK9	255738	ENSG00000169174,ENST00000302118;;;ENST00000302118		{Low density lipoprotein cholesterol level QTL 1}	603776	AD	3	Pcsk9
1p32.3	1:55039548-55064852	PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1, FHCL3	Proprotein convertase, subtilisin/kexin-type, 9	607786	PCSK9	255738	ENSG00000169174,ENST00000302118;;;ENST00000302118		Hypercholesterolemia, familial, 3	603776	AD	3	Pcsk9
1p32.2	1:56854797-56918223	C8A	Complement component-8, alpha polypeptide	120950	C8A	731	ENSG00000157131,ENST00000361249;;;ENST00000361249		C8 deficiency, type I	613790	AR	3	C8a
1p32.2	1:56929207-56966015	C8B	Complement component-8, beta polypeptide	120960	C8B	732	ENSG00000021852,ENST00000371237;;;ENST00000371237		C8 deficiency, type II	613789	AR	3	C8b
1p32.2-p32.1	1:56994778-58546726	DAB1, SCA37	DAB adaptor protein 1	603448	DAB1	1600	ENSG00000173406,ENST00000371236;;;ENST00000371236		Spinocerebellar ataxia 37	615945	AD	3	Dab1
1p32.1	1:58575433-58577252	TACSTD2, TROP2, M1S1	Tumor-associated calcium signal transducer 2	137290	TACSTD2	4070	ENSG00000184292,ENST00000371225;;;ENST00000371225		Corneal dystrophy, gelatinous drop-like	204870	AR	3	Tacstd2
